City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
335,havre-saint-pierre,20,CA,1538265600,66,50.23,-63.6,42.8,10.29
336,muroto,75,JP,1538265600,88,33.37,134.14,78.8,16.11
337,kant,0,KG,1538270027,62,42.89,74.85,29.35,2.59
338,mecca,48,SA,1538270027,93,21.43,39.83,75.52,2.37
339,kalakamati,0,BW,1538270028,50,-20.59,27.31,65.62,22.28
340,hella,0,IS,1538270028,100,63.84,-20.4,37.54,21.27
341,dawei,92,MM,1538270028,93,14.07,98.19,76.69,2.48
342,talnakh,92,RU,1538270028,92,69.49,88.39,42.58,20.04
343,pizarro,92,CO,1538270028,100,4.95,-77.37,76.87,1.03
344,rawson,80,AR,1538270029,27,-43.3,-65.11,62.11,18.81
345,buraydah,0,SA,1538265600,29,26.33,43.97,75.2,4.7
346,lagos,32,NG,1538270029,98,6.46,3.39,77.05,4.61
347,mayumba,76,GA,1538270029,98,-3.44,10.65,74.35,4.61
348,tuatapere,0,NZ,1538270029,95,-46.13,167.69,51.49,3.94
349,lerwick,88,GB,1538268600,61,60.15,-1.15,50.0,24.16
350,mitoc,75,MD,1538269200,87,47.39,28.78,48.2,8.05
351,almunecar,0,ES,1538269200,87,36.73,-3.69,60.8,6.06
352,upernavik,92,GL,1538269782,100,72.79,-56.15,34.75,16.8
353,hauterive,0,FR,1538269200,87,46.09,3.45,48.2,13.87
354,ilebo,92,CD,1538270030,95,-4.33,20.59,72.64,2.15
355,mackay,90,CA,1538269200,51,53.65,-115.58,35.6,8.05
356,nikolskoye,20,RU,1538267400,75,59.7,30.79,42.8,13.42
357,vanimo,44,PG,1538269894,100,-2.67,141.3,81.73,10.65
358,beyneu,68,KZ,1538270031,46,45.32,55.19,59.77,7.96
359,san cristobal,40,EC,1538265600,63,-0.39,-78.55,60.8,13.87
360,guerande,0,FR,1538269200,87,48.47,-4.17,46.4,2.24
361,xining,92,CN,1538270031,92,36.62,101.77,34.75,1.59
362,luanda,75,AO,1538265600,88,-8.83,13.24,73.4,4.7
363,padang,100,ID,1538269917,100,-0.92,100.36,76.06,1.36
364,avera,1,US,1538267700,95,33.19,-82.53,77.0,3.36
365,nelson bay,75,AU,1538269200,55,-32.72,152.14,64.4,13.87
366,bataipora,88,BR,1538270032,72,-22.3,-53.27,77.59,3.38
367,carauari,8,BR,1538270032,80,-4.88,-66.9,82.54,3.71
368,hovd,75,NO,1538268600,87,63.83,10.7,48.2,12.75
369,verkhnevilyuysk,92,RU,1538270032,96,63.45,120.31,42.85,4.94
370,havoysund,76,NO,1538268600,93,71.0,24.66,39.2,19.46
371,chervishevo,0,RU,1538267400,86,56.95,65.43,41.0,8.95
372,warrington,75,GB,1538268600,76,53.39,-2.59,53.6,14.99
373,snihurivka,56,UA,1538270033,79,47.07,32.8,53.38,13.56
374,najran,0,SA,1538265600,26,17.54,44.22,71.6,2.59
375,kotka,90,FI,1538268600,93,60.47,26.95,46.4,10.29
376,hammerfest,24,NO,1538268600,100,70.66,23.68,42.8,19.46
377,pacifica,90,US,1538268900,82,37.61,-122.49,73.94,14.99
378,alta floresta,20,BR,1538270034,94,-9.87,-56.08,76.51,0.92
379,warnes,40,BO,1538265600,78,-17.51,-63.16,75.2,10.29
380,mandera,0,ET,1538270034,73,3.94,41.86,77.5,10.2
381,ketchikan,1,US,1538268960,5,55.34,-131.65,64.04,4.7
382,anshun,32,CN,1538270034,88,26.25,105.93,56.8,3.49
383,itapeva,24,BR,1538270035,92,-23.98,-48.88,66.52,7.96
